time,x,y
1789342043.1766338,4966,1866
1789342043.189717,5038,1943
1789342043.2007103,5101,2010
1789342043.2127526,5153,2064
1789342043.2248268,5200,2119
1789342043.236826,5246,2173
1789342043.2499008,5293,2263
1789342043.2729416,5376,2438
1789342043.2849739,5407,2505
1789342043.2970169,5433,2567
1789342043.3100817,5454,2641
1789342043.3331215,5490,2855
1789342043.346147,5501,2922
1789342043.3582063,5506,2980
1789342043.3712313,5506,3039
1789342043.3822691,5501,3120
1789342043.3942995,5490,3230
1789342043.406338,5480,3304
1789342043.4183939,5470,3362
1789342043.4304378,5449,3421
1789342043.4424412,5423,3483
1789342043.4544532,5387,3561
1789342043.4665437,5335,3651
1789342043.4784863,5283,3721
1789342043.4915397,5220,3787
1789342043.5026288,5158,3845
1789342043.5146613,5090,3908
1789342043.5266898,5018,3982
1789342043.53873,4945,4040
1789342043.5517645,4846,4103
1789342043.5628028,4727,4169
1789342043.5748398,4623,4220
1789342043.5868678,4529,4262
1789342043.5989158,4436,4301
1789342043.6109543,4322,4336
1789342043.6230056,4212,4368
1789342043.6350229,4098,4391
1789342043.6470635,3963,4411
1789342043.6590922,3833,4426
1789342043.6721275,3709,4434
1789342043.683154,3594,4434
1789342043.6951911,3496,4434
1789342043.7072325,3387,4426
1789342043.719279,3303,4418
1789342043.7323034,3205,4403
1789342043.743343,3085,4379
1789342043.7554033,2976,4356
1789342043.7674246,2867,4329
1789342043.779455,2748,4286
1789342043.7924874,2644,4235
1789342043.8035202,2550,4188
1789342043.815559,2462,4142
1789342043.82759,2374,4091
1789342043.8396277,2290,4040
1789342043.8526907,2212,3986
1789342043.8637037,2088,3865
1789342043.8757384,2000,3760
1789342043.887772,1927,3674
1789342043.8998065,1859,3576
1789342043.9128418,1797,3460
1789342043.9238837,1750,3358
1789342043.9359233,1719,3284
1789342043.9479537,1698,3218
1789342043.9599948,1677,3120
1789342043.9729984,1657,2965
1789342043.9840653,1646,2863
1789342043.9961054,1651,2778
1789342044.008139,1667,2668
1789342044.0201776,1688,2548
1789342044.0332117,1714,2462
1789342044.044241,1750,2392
1789342044.0562825,1797,2325
1789342044.0682786,1870,2232
1789342044.080323,1968,2123
1789342044.0934186,2077,2018
1789342044.1044445,2176,1940
1789342044.1164575,2275,1866
1789342044.1284816,2374,1791
1789342044.1405268,2477,1721
1789342044.1535833,2581,1663
1789342044.1645656,2670,1608
1789342044.1766224,2758,1562
1789342044.1886592,2851,1523
1789342044.2006981,2950,1487
1789342044.2137249,3059,1456
1789342044.2247624,3179,1433
1789342044.236793,3283,1413
1789342044.2487774,3392,1402
1789342044.2608714,3480,1394
1789342044.2739031,3574,1390
1789342044.284925,3672,1386
1789342044.2969904,3766,1390
1789342044.308983,3864,1394
1789342044.3210208,3968,1402
1789342044.3340802,4062,1413
1789342044.3451242,4150,1425
1789342044.3571577,4228,1441
1789342044.3691792,4306,1464
1789342044.3812258,4400,1491
1789342044.3942537,4477,1526
1789342044.4052863,4550,1562
1789342044.4173324,4638,1600
1789342044.4293869,4711,1639
1789342044.4414244,4774,1675
1789342044.4544704,4825,1706
1789342044.4654708,4877,1733
1789342044.4774756,4929,1764
1789342044.489507,4981,1803
1789342044.5015905,5059,1881
1789342044.5146315,5127,1947
1789342044.5256474,5189,2006
1789342044.537687,5251,2072
1789342044.5495782,5303,2127
1789342044.5617697,5350,2181
1789342044.5748007,5392,2255
1789342044.5858319,5433,2345
1789342044.597866,5464,2427
1789342044.6099045,5490,2493
1789342044.6219504,5516,2563
1789342044.6349783,5532,2633
1789342044.6460092,5548,2711
1789342044.6580434,5563,2793
1789342044.6700814,5568,2855
1789342044.6821299,5574,2902
1789342044.695112,5579,2941
1789342044.7061863,5579,2996
1789342044.7182221,5579,3046
1789342044.7302647,5574,3120
1789342044.7422955,5563,3195
1789342044.755337,5548,3276
1789342044.7663975,5532,3335
1789342044.7784204,5511,3393
1789342044.790447,5475,3456
1789342044.80248,5412,3553
1789342044.8155181,5335,3662
1789342044.8275576,5262,3740
1789342044.839599,5194,3810
1789342044.8516266,5132,3869
1789342044.863665,5070,3927
1789342044.8767016,4992,3994
1789342044.8877313,4898,4060
1789342044.899779,4789,4122
1789342044.9128194,4664,4188
1789342044.9238436,4571,4235
1789342044.9368858,4477,4274
1789342044.9479241,4363,4313
1789342044.9599566,4249,4344
1789342044.973002,4124,4372
1789342044.9840298,3984,4395
1789342044.997074,3844,4407
